node1,	node2,	dist,	visibility,	sound,	transitability,	lockable,	flow
1.5,	10.1,	7,	0,		0.66,	0,		0,		0
1.5,	10.2,	11,	0,		0.33,	0,		0,		0
1.5,	11.1,	7,	0,		0.66,	0,		0,		0
1.5,	11.2,	11,	0,		0.33,	0,		0,		0
1.5,	11.3,	15,	0,		0.33,	0,		0,		0
1.5,	12.1,	5,	0,		0.9,	0,		0,		0
1.5,	13.1,	5,	0,		0.9,	0,		0,		0
1.5,	14.1,	8,	0,		0.66,	0,		0,		0
1.5,	15.1,	11,	0,		0.33,	0,		0,		0
1.5,	16.1,	14,	0,		0.33,	0,		0,		0
1.5,	25.1,	8,	0,		0.66,	0,		0,		0
1.5,	26.1,	9,	0,		0.66,	0,		0,		0
1.5,	27.1,	12,	0,		0.33,	0,		0,		0
1.5,	28.1,	15,	0,		0.33,	0,		0,		0
1.5,	38.1,	9,	0,		0.66,	0,		0,		0
1.5,	39.1,	8,	0,		0.66,	0,		0,		0
1.5,	40.1,	12,	0,		0.33,	0,		0,		0
1.5,	40.2,	12,	0,		0.33,	0,		0,		0

1.6,	1.01,	18,	0.4,		0,	0,		0,		0
1.6,	1.2,	15,	0.5,		0,	0,		0,		0
1.6,	1.3,	15,	0.6,		0.33,	0,		0,		0
1.6,	1.4,	9,	0.6,		0.33,	0,		0,		0
1.6,	1.5,	6,	0.9,		0.9,	1,		0,		20
1.6,	4.2,	14,	0,		0.33,	0,		0,		0
1.6,	6.1,	10,	0,		0.33,	0,		0,		0
1.6,	6.2,	12,	0,		0.33,	0,		0,		0
1.6,	7.1,	10,	0,		0.33,	0,		0,		0
1.6,	7.2,	12,	0,		0.33,	0,		0,		0
1.6,	8.1,	6,	0,		0.66,	0,		0,		0
1.6,	8.2,	8,	0,		0.66,	0,		0,		0
1.6,	9.1,	6,	0,		0.66,	0,		0,		0
1.6,	9.2,	8,	0,		0.66,	0,		0,		0
1.6,	10.1,	4,	1,		1,	1,		0,		20
1.6,	10.2,	7,	0,		0.66,	0,		0,		0
1.6,	10.3,	11,	0,		0.33,	0,		0,		0
1.6,	11.1,	4,	1,		1,	1,		0,		20
1.6,	11.2,	7,	0,		0.66,	0,		0,		0
1.6,	11.3,	9,	0,		0.66,	0,		0,		0
1.6,	11.4,	14,	0,		0.33,	0,		0,		0
1.6,	12.1,	4,	0,		0.9,	0,		0,		0
1.6,	13.1,	3,	0.8,		0.9,	0,		0,		0
1.6,	14.1,	7,	0,		0.66,	0,		0,		0
1.6,	15.1,	8,	0,		0.66,	0,		0,		0
1.6,	16.1,	9,	0,		0.66,	0,		0,		0
1.6,	17.1,	12,	0,		0.33,	0,		0,		0
1.6,	18.1,	14,	0,		0.33,	0,		0,		0
1.6,	25.1,	7,	0,		0.66,	0,		0,		0
1.6,	26.1,	7,	0,		0.66,	0,		0,		0
1.6,	27.1,	8,	0,		0.66,	0,		0,		0
1.6,	28.1,	10,	0,		0.66,	0,		0,		0
1.6,	29.1,	12,	0,		0.33,	0,		0,		0
1.6,	30.1,	14,	0,		0.33,	0,		0,		0
1.6,	38.1,	4,	0,		0.9,	0,		0,		0
1.6,	39.1,	3,	0,		0.9,	0,		0,		0
1.6,	40.1,	7,	0,		0.33,	0,		0,		0
1.6,	40.2,	7,	0,		0.33,	0,		0,		0
1.6,	41.1,	11,	0,		0.33,	0,		0,		0
1.6,	42.1,	10,	0,		0.66,	0,		0,		0
1.6,	43.1,	15,	0,		0.33,	0,		0,		0
1.6,	44.1,	15,	0,		0.33,	0,		0,		0

2.1,	1.01,	4,	1,		1,	1,		1,		2.5
2.1,	1.2,	4,	1,		1,	1,		1,		2.5
2.1,	1.3,	9,	0,		0.66,	0,		0,		0
2.1,	1.4,	10,	0,		0.66,	0,		0,		0
2.1,	3.01,	7,	0.8,		0.66,	1,		1,		2.5
2.1,	4.1,	3,	0,		0.66,	0,		0,		0
2.1,	4.2,	8,	0,		0.66,	0,		0,		0
2.1,	4.3,	7,	0,		0.66,	0,		0,		0
2.1,	5.1,	9,	0,		0.66,	0,		0,		0
2.1,	5.2,	11,	0,		0.33,	0,		0,		0
2.1,	6.1,	11,	0,		0.33,	0,		0,		0
2.1,	6.2,	12,	0,		0.33,	0,		0,		0
2.1,	7.1,	13,	0,		0.33,	0,		0,		0
2.1,	7.2,	15,	0,		0.33,	0,		0,		0

3.01,	1.01,	4,	1,		1,	1,		0,		2.5
3.01,	1.2,	4,	1,		1,	1,		0,		2.5
3.01,	1.3,	9,	0,		0.66,	0,		0,		0
3.01,	1.4,	10,	0,		0.66,	0,		0,		0
3.01,	2.1,	7,	0.8,		0.66,	1,		0,		2.5
3.01,	4.1,	7,	0,		0.66,	0,		0,		0
3.01,	4.2,	9,	0,		0.66,	0,		0,		0
3.01,	4.3,	11,	0,		0.33,	0,		0,		0
3.01,	5.1,	7,	0,		0.66,	0,		0,		0
3.01,	5.2,	6,	0,		0.66,	0,		0,		0
3.01,	6.1,	13,	0,		0.33,	0,		0,		0
3.01,	6.2,	15,	0,		0.33,	0,		0,		0
3.01,	7.1,	11,	0,		0.33,	0,		0,		0
3.01,	7.2,	12,	0,		0.33,	0,		0,		0

4.1,	1.01,	6,	0,		0.66,	0,		0,		0
4.1,	1.2,	4,	1,		1,	1,		0,		20
4.1,	1.3,	4,	0,		1,	0,		0,		0
4.1,	1.4,	7,	0,		0.66,	0,		0,		0
4.1,	1.5,	12,	0,		0.33,	0,		0,		0
4.1,	2.1,	3,	0,		0.66,	0,		0,		0
4.1,	3.01,	7,	0,		0.66,	0,		0,		0
4.1,	4.2,	4,	1,		1,	1,		0,		20
4.1,	4.3,	4,	1,		1,	1,		0,		20
4.1,	5.1,	7,	0,		0.66,	0,		0,		0
4.1,	5.2,	10,	0,		0.66,	0,		0,		0
4.1,	6.1,	7,	0,		0.66,	0,		0,		0
4.1,	6.2,	8,	0,		0.66,	0,		0,		0
4.1,	7.1,	9,	0,		0.66,	0,		0,		0
4.1,	7.2,	13,	0,		0.33,	0,		0,		0
4.1,	8.1,	13,	0,		0.33,	0,		0,		0
4.1,	8.2,	14,	0,		0.33,	0,		0,		0
4.1,	9.1,	14,	0,		0.33,	0,		0,		0
4.1,	12.1,	15,	0,		0.33,	0,		0,		0

4.2,	1.01,	8,	0,		0.66,	0,		0,		0
4.2,	1.2,	7,	0.6,		0.66,	0,		0,		0
4.2,	1.3,	3,	0,		1,	0,		0,		0
4.2,	1.4,	4,	1,		1,	1,		0,		2.5
4.2,	1.5,	9,	0,		0.66,	0,		0,		0
4.2,	1.6,	14,	0,		0.33,	0,		0,		0
4.2,	2.1,	8,	0,		0.66,	0,		0,		0
4.2,	3.01,	9,	0,		0.66,	0,		0,		0
4.2,	4.1,	4,	1,		1,	1,		0,		20
4.2,	4.3,	5,	1,		1,	1,		0,		20
4.2,	5.1,	7,	0,		0.66,	0,		0,		0
4.2,	5.2,	11,	0,		0.33,	0,		0,		0
4.2,	6.1,	4,	0,		0.66,	0,		0,		0
4.2,	6.2,	6,	0,		0.66,	0,		0,		0
