id,	xcor,	ycor,	size,	capacity,	hidden-places,	info,	lock?, accident-prob
17.1,	27,	2,	1,	10,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
18.1,	29,	2,	2,	20,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
19.1,	31,	2,	2,	20,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
20.1,	33,	2,	1,	10,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
21.1,	35,	2,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
22.1,	37,	2,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
23.1,	38,	2,	1,	10,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
24.1,	40,	2,	2,	20,		1,		0,	1,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
25.1,	17,	13,	2,	20,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
26.1,	19,	13,	2,	20,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
27.1,	22,	13,	2,	10,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
28.1,	25,	13,	2,	20,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
29.1,	27,	13,	1,	20,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
30.1,	29,	13,	1,	10,		1,		0,	0,	[ 0 0.05 0.1 0.15 0.2 0.25 0.3 0.35 0.4 0.45 ]
